Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Triangle Tech Inc-Dubois,,,,PA,6,2,1,1,Triangle Tech Inc-Dubois,-78.795923,41.147974,,,31665,31665,25527,25527,,,31031,31031,24893,24893,19477,18189,,,31035,31035,24897,24897,,,,30504,30504,24366,24366,,,29879,29879,23741,23741,,,29830,29830,23692,23692,1230,1180,1184,1159,1182,1182,1101,
Triangle Tech Inc-Greensburg,,,,PA,6,2,1,1,Triangle Tech Inc-Greensburg,-79.539468,40.303168,,,31841,31841,25703,25703,,,31127,31127,24989,24989,14715,15551,,,31180,31180,25042,25042,,,,30621,30621,24483,24483,,,29984,29984,20129,20129,,,29984,29984,20129,20129,1400,1318,1371,1318,1339,1339,1124,
Triangle Tech Inc-Pittsburgh,,,,PA,6,2,1,1,Triangle Tech Inc-Pittsburgh,-80.012781,40.462003,,,31812,31812,25674,25674,,,31129,31129,24991,24991,19006,18260,,,31129,31129,24991,24991,,,,30578,30578,24440,24440,,,29970,29970,23832,23832,,,29953,29953,23815,23815,1318,1286,1286,1239,1279,1270,1092,
Triangle Tech Inc-Sunbury,,,,PA,6,2,1,1,Triangle Tech Inc-Sunbury,-76.765478,40.855276,,,31853,31853,25715,25715,,,31081,31081,24943,24943,18897,18325,,,31081,31081,24943,24943,,,,30554,30554,24416,24416,,,29932,29932,23794,23794,,,29926,29926,23788,23788,1137,1097,1097,1076,1102,1096,1026,
Triangle Tech-Chambersburg,,,,PA,6,2,1,1,Triangle Tech-Chambersburg,-77.642205,39.995848,,,31777,31777,25639,25639,,,33086,33086,26948,26948,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,1852,1852,,,,,
Trident Technical College,2514,2506,2559,SC,4,2,1,4,Trident Technical College,-80.031276,32.928767,,,17723,21270,9563,13110,,,17067,20614,9299,12846,,,,,16930,20477,9730,13277,7616,,,17847,21298,9945,13396,,,19280,22608,10487,13815,,,18748,21978,9955,13185,1460,1460,2000,2000,2000,2000,2046,
Trinidad State College,12361,11200,10897,CO,1,1,1,2,Trinidad State College,-104.513451,37.172059,20869,24238,24883,28252,12886,16255,21001,24070,24829,27898,13237,16306,,,20124,23103,24525,27504,12573,15552,11156,19195,22197,23997,26999,12450,15452,18972,21863,22649,25540,12164,15055,18165,21090,22309,25234,11597,14522,1460,1800,1800,1800,1800,1800,1800,
Trinity College of Florida,,,,FL,2,1,1,1,Trinity College of Florida,-82.678318,28.194732,27750,27750,26525,26525,20150,20150,27750,27750,26525,26525,20150,20150,16641,17498,27750,27750,26525,26525,20150,20150,,26840,26840,26565,26565,20190,20190,26840,26840,26565,26565,20190,20190,25990,25990,25915,25915,19540,19540,1450,1450,1450,1450,1450,1450,1314,
Trinity Valley Community College,6434,7892,7136,TX,1,1,1,3,Trinity Valley Community College,-95.858513,32.196596,18025,19075,18031,19081,11441,12491,18025,19075,18031,19081,11441,12491,,,18142,19192,18267,19317,11558,12608,7556,17293,18343,17946,18996,11356,12406,16465,17395,17285,18215,10755,11685,16311,16911,17122,17722,10661,11261,1746,1777,1777,1746,1715,1698,1695,
Triton College,6017,5987,5396,IL,4,2,1,3,Triton College,-87.841056,41.916082,,,23080,25870,16006,18796,,,22542,25182,15658,18298,,,,,21955,24496,15201,17742,5085,,,21240,23683,14628,17071,,,20714,23064,14222,16572,,,20060,22330,13714,15984,1500,1470,1440,1440,1440,1380,1322,
Trocaire College,,,,NY,2,1,1,2,Trocaire College,-78.812398,42.846693,,,33900,33900,24000,24000,,,27540,27540,21740,21740,12171,12939,,,27540,27540,21740,21740,,,,27950,27950,20950,20950,,,27410,27410,20410,20410,,,27070,27070,20070,20070,2000,1200,1200,1000,1000,1000,1000,
Truckee Meadows Community College,8954,8547,9307,NV,1,1,1,3,Truckee Meadows Community College,-119.796975,39.571402,,,22654,30340,8506,16192,,,24227,31704,7511,14988,,,,,23388,30578,7080,14270,8523,,,23260,30173,7223,14136,,,18816,25594,8292,15070,,,18651,25296,8127,14772,690,1318,1286,1266,1200,1200,1200,
Tulsa Community College,5393,6313,5788,OK,4,2,1,4,Tulsa Community College,-95.908250,36.106788,,,20841,26241,8125,13525,,,20609,26009,8101,13501,,,,,20277,25677,8005,13405,5902,,,19613,24845,7813,13045,,,18917,23933,7589,12605,,,18743,23543,7415,12215,1752,1728,1704,1680,1656,1632,1560,
Tunxis Community College,8099,7105,7732,CT,4,2,1,2,Tunxis Community College,-72.877540,41.705498,,,24968,33920,12974,21926,,,21435,30387,10503,19455,,,,,20715,29667,9977,18929,6925,,,20272,29040,9785,18553,,,19728,28280,12496,21048,,,18665,27001,9128,17464,1500,1200,1200,1200,1200,1000,1200,
Turtle Mountain Community College,,,,ND,2,1,1,1,Turtle Mountain Community College,-99.750836,48.883758,,,17762,17762,8288,8288,,,17674,17674,8200,8200,6374,3174,,,17674,17674,8200,8200,,,,17674,17674,8200,8200,,,17674,17674,8200,8200,,,17674,17674,8200,8200,400,400,400,400,400,400,400,
Tyler Junior College,11203,10469,8837,TX,1,1,1,4,Tyler Junior College,-95.284122,32.336010,19970,20690,21642,22362,12556,13276,19946,20666,21570,22290,12526,13246,,,19862,20582,21322,22042,12422,13142,8863,18564,19284,18768,19488,11262,11982,18266,18986,18316,19036,10942,11662,17775,18465,17957,18647,10657,11347,1300,1300,1300,1800,1800,1800,1500,
Ulster County Community College,6371,4738,5330,NY,4,2,1,2,Ulster County Community College,-74.128698,41.851218,,,17540,22420,10040,14920,,,17540,22420,10040,14920,,,,,17340,22020,9840,14520,3745,,,17140,21620,9640,14120,,,14154,18634,9154,13634,,,13956,18286,8956,13286,1200,1200,1200,1200,1000,1000,1000,
Umpqua Community College,10195,9362,9819,OR,4,2,1,2,Umpqua Community College,-123.332475,43.289317,15384,16047,21362,22025,9632,10295,15185,15848,21044,21707,9587,10250,,,,,20356,20980,9346,9970,7958,,,18306,18891,9666,10251,,,17621,22145,9491,14015,,,17197,21760,9217,13780,1500,1605,1650,1800,1800,2400,1800,
Union Bible College,,,,IN,2,1,1,1,Union Bible College,-86.126025,40.038757,15700,15700,21552,21552,10810,10810,15850,15850,21702,21702,10960,10960,9803,8805,15380,15380,21462,21462,10720,10720,,14920,14920,21222,21222,10480,10480,,,,,,,,,,,,,500,500,500,500,500,500,500,
Union College,,,,NY,2,1,1,2,Union College,-73.928788,42.818097,78885,78885,77385,77385,70065,70065,75990,75990,73164,73164,65514,65514,39538,37080,73410,73410,69963,69963,63318,63318,,70860,70860,67464,67464,61212,61212,68610,68610,65259,65259,59274,59274,66360,66360,60816,60816,55611,55611,1500,1500,1500,1500,1500,1500,1500,
Union County College,12757,5965,6493,NJ,4,2,1,3,Union County College,-74.319138,40.668595,,,30094,30094,17416,17416,,,24588,24588,16912,16912,,,,,23484,23484,16168,16168,3364,,,23202,23202,15886,15886,,,20058,20058,12808,12808,,,19690,19690,12440,12440,1440,1440,1416,1416,1200,1200,1200,
United States Air Force Academy,,,,CO,1,1,1,2,United States Air Force Academy,-104.891358,39.010957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Coast Guard Academy,,,,CT,1,1,1,2,United States Coast Guard Academy,-72.101583,41.375823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393,2393,,,,,,,,,,,,
United States Military Academy,,,,NY,1,1,1,2,United States Military Academy,-73.956603,41.390479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Naval Academy,,,,MD,1,1,1,2,United States Naval Academy,-76.481692,38.980507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Tribes Technical College,,,,ND,2,1,1,1,United Tribes Technical College,-100.755131,46.767157,12822,12822,12612,12612,6852,6852,12822,12822,12612,12612,6852,6852,4363,5914,12822,12822,12612,12612,6852,6852,,12822,12822,12612,12612,6852,6852,12822,12822,12612,12612,6852,6852,13981,13981,14117,14117,8357,8357,1400,1400,1400,1400,1400,1400,1400,
Universal College of Healing Arts,,,,NE,6,2,1,1,Universal College of Healing Arts,-95.961539,41.339162,,,24130,24130,17302,17302,,,24015,24015,17007,17007,,,,,23254,23254,15829,15829,,,,23254,23254,15829,15829,,,28128,28128,20703,20703,,,28128,28128,20703,20703,1400,1600,1600,1600,1600,1600,1600,
University of Akron Wayne College,8635,8286,8102,OH,4,2,1,2,University of Akron Wayne College,-81.789979,40.861519,,,23585,23585,10571,10571,,,22532,29205,10182,16855,,,,,22532,29205,10182,16855,8758,,,22532,28888,10182,16538,,,22478,29151,10236,16909,,,22610,29283,10182,16855,1000,1000,1000,1000,1000,1000,1000,
University of Arkansas Community College Rich Mountain,6080,6066,5096,AR,4,2,1,1,University of Arkansas Community College Rich Mountain,-94.219799,34.591449,15522,15762,16305,16545,8556,8796,14914,15154,16047,16287,8298,8538,,,15062,15302,18180,18420,10062,10302,5543,,,17898,18618,9780,10500,,,17440,20056,9480,12096,,,17316,19932,9360,11976,840,750,750,660,660,660,1000,
University of Arkansas Community College-Batesville,8688,7896,7366,AR,4,2,1,2,University of Arkansas Community College-Batesville,-91.615852,35.792923,,,17785,18361,11935,12511,,,17785,18361,11935,12511,,,,,17683,18271,11833,12421,5598,,,17057,17513,10757,11213,,,15629,17057,10679,12107,,,13601,14981,9155,10535,1000,1000,1000,1400,1400,1400,1400,
University of Arkansas Community College-Morrilton,7957,7902,5443,AR,4,2,1,2,University of Arkansas Community College-Morrilton,-92.728507,35.172136,,,21888,22560,10986,11658,,,20289,20961,9790,10462,,,,,18572,19244,10041,10713,5406,,,13703,14399,7342,8038,,,13742,14438,7246,7942,,,13622,14414,7126,7918,1397,428,1500,1062,1062,1062,1264,
University of Arkansas Hope-Texarkana,7046,7474,7539,AR,4,2,1,2,University of Arkansas Hope-Texarkana,-93.596762,33.641665,,,20482,21532,9231,10281,,,18852,19902,8952,10002,,,,,18852,19902,8952,10002,8033,,,18451,19471,8697,9717,,,17826,20106,8485,10765,,,17340,19560,8173,10393,1152,1136,1136,1129,1117,1117,1000,
University of Arkansas-Pulaski Technical College,12853,12746,11667,AR,4,2,1,2,University of Arkansas-Pulaski Technical College,-92.299184,34.782783,,,22056,23286,12864,14094,,,22850,24080,14318,15548,,,,,22850,24080,14318,15548,9028,,,21150,22345,13260,14455,,,20856,22026,12966,14136,,,20926,22066,12980,14120,772,772,772,800,800,1200,1200,
University of Cincinnati-Blue Ash College,12681,12971,13305,OH,1,1,1,3,University of Cincinnati-Blue Ash College,-84.399956,39.234333,22918,31716,24314,33112,9792,18590,23664,32462,23664,32462,9556,18354,,,23828,32626,23828,32626,10034,18832,11283,,,23778,32576,10534,19332,,,25278,34076,12034,20832,,,25278,34076,12034,20832,1200,1200,1200,1200,1500,1500,1500,
University of Cincinnati-Clermont College,9448,8152,9412,OH,1,1,1,3,University of Cincinnati-Clermont College,-84.194370,39.080645,,,23908,31140,9386,16618,,,23272,30388,9164,16280,,,,,23452,30684,9658,16890,12169,,,23084,30316,9840,17072,,,24584,31816,11340,18572,,,24584,31816,11340,18572,1200,1200,1200,1200,1500,1500,1500,
University of Connecticut-Avery Point,10534,9932,7488,CT,1,1,1,1,University of Connecticut-Avery Point,-72.065336,41.316419,,,34620,57288,19582,42250,,,32486,55154,18950,41618,,,,,31696,54364,18238,40906,7273,,,30322,52690,17248,39616,,,29002,51070,16438,38506,,,27960,49752,15474,37266,950,950,950,950,850,850,850,
University of Connecticut-Hartford Campus,9152,9798,8413,CT,1,1,1,2,University of Connecticut-Hartford Campus,-72.672175,41.762673,,,34610,57278,19572,42240,,,32476,55144,18940,41608,,,,,31686,54354,18228,40896,,,,30352,52720,17278,39646,,,28992,51060,16428,38496,,,,,,,950,950,950,950,850,850,850,
University of Connecticut-Stamford,9678,13383,10731,CT,1,1,1,2,University of Connecticut-Stamford,-73.542206,41.056081,36444,59112,34630,57298,19592,42260,35812,58480,32496,55164,18960,41628,,,35022,57690,31706,54374,18248,40916,7380,33294,55662,30372,52740,17298,39666,32124,54192,29012,51080,16448,38516,,,27970,49762,15484,37276,950,950,950,950,850,850,850,
University of Connecticut-Waterbury Campus,7515,8009,6550,CT,1,1,1,1,University of Connecticut-Waterbury Campus,-73.039242,41.555617,,,34620,57288,19582,42250,,,32486,55154,18950,41618,,,,,31696,54364,18238,40906,6463,,,30362,52730,17288,39656,,,29002,51070,16438,38506,,,27960,49752,15474,37266,950,950,950,950,850,850,850,
University of Florida-Online,9024,8675,9755,FL,1,1,1,3,University of Florida-Online,-82.339848,29.649413,,,17936,30639,7536,20239,,,17936,30639,7346,20049,,,,,17726,30430,7506,20210,11976,,,17726,30430,7606,20310,,,17656,30360,7746,20450,,,17416,30120,7876,20580,810,890,850,1030,1210,1210,1300,
University of Hawaii Maui College,9308,11471,9598,HI,1,1,1,2,University of Hawaii Maui College,-156.477252,20.889560,,,25512,30648,9616,14752,,,24508,29644,9580,14716,,,,,26430,31566,10680,15816,8783,,,25980,31116,10496,15632,,,25342,30478,10250,15386,,,24038,29174,9826,14962,1350,1340,1058,1040,1012,952,1000,
University of Hawaii-West Oahu,11105,14351,11766,HI,1,1,1,2,University of Hawaii-West Oahu,-158.056403,21.355310,,,29974,42934,13870,26830,,,29078,42038,13832,26792,,,,,30736,43696,14408,27368,8521,,,30274,43234,14222,27182,,,26728,39688,11636,24596,,,25628,38588,11416,24376,1350,1340,1058,1040,1012,952,1280,
University of Maine at Fort Kent,10547,12162,11205,ME,1,1,1,2,University of Maine at Fort Kent,-68.589319,47.250389,21125,25535,19771,24181,12271,16681,19985,24395,19697,24107,12197,16607,,,20245,24535,19295,23585,11295,15585,12383,19835,24035,19115,23315,11115,15315,19375,23485,18965,23075,10965,15075,18985,22615,18575,22205,10575,14205,1000,1000,1000,1000,1000,1000,1000,
University of Minnesota-Crookston,11925,12010,11483,MN,1,1,1,2,University of Minnesota-Crookston,-96.606188,47.802536,25086,25086,25086,25086,16340,16340,24212,24212,24212,24212,15872,15872,,,24242,24242,24242,24242,15920,15920,13396,23560,23560,23560,23560,15458,15458,23866,23866,23866,23866,15306,15306,22850,22850,22850,22850,15192,15192,1000,1000,1000,1000,1200,1200,1000,
University of Minnesota-Morris,11652,11147,11682,MN,1,1,1,2,University of Minnesota-Morris,-95.899729,45.589775,25562,27654,25562,27654,16498,18590,24860,26914,24860,26914,16228,18282,,,24680,26734,24680,26734,16228,18282,11589,24256,26284,24256,26284,15914,17942,23922,25942,23922,25942,15772,17792,23460,25460,23460,25460,15546,17546,800,800,800,900,900,900,900,
University of Minnesota-Rochester,14198,15469,16314,MN,1,1,1,1,University of Minnesota-Rochester,-92.463471,44.022339,28426,28426,28426,28426,16346,16346,27138,27138,27138,27138,16224,16224,,,26504,26504,26504,26504,16310,16310,16247,26222,26222,26222,26222,16512,16512,25940,25940,25940,25940,16552,16552,25852,25852,25852,25852,16432,16432,1000,1000,1000,1000,1000,1000,1000,
University of New Hampshire at Manchester,17602,15634,12608,NH,1,1,1,1,University of New Hampshire at Manchester,-71.468755,42.987209,31801,50001,33651,51851,19985,38185,31378,48688,33228,50538,19978,37288,,,30788,47298,32890,49400,19885,36395,15489,30136,45506,34510,49880,21110,36480,,,33989,48559,20689,35259,,,33355,47155,20305,34105,1000,1000,1000,1200,1200,1200,1200,
University of New Mexico-Gallup Campus,7583,6958,6731,NM,4,2,1,2,University of New Mexico-Gallup Campus,-108.727252,35.502662,,,17752,20528,7356,10132,,,17548,20324,7286,10062,,,,,18672,21595,7198,10121,7313,,,18345,21350,7131,10136,,,17952,20728,6968,9744,,,17638,20414,6844,9620,1194,1178,1158,1126,1102,1080,1072,
University of New Mexico-Los Alamos Campus,10855,10538,7553,NM,4,2,1,1,University of New Mexico-Los Alamos Campus,-106.319557,35.886153,,,17996,21488,7600,11092,,,17692,21184,7430,10922,,,,,18892,22364,7418,10890,7864,,,18451,21943,7237,10729,16922,20286,18244,21608,7260,10624,,,17858,21090,7090,10322,1194,1178,1159,1125,1102,1080,1072,
University of New Mexico-Taos Campus,10974,10265,8541,NM,4,2,1,2,University of New Mexico-Taos Campus,-105.651709,36.348861,,,17676,20556,7280,10160,,,17488,20368,7226,10106,,,,,18643,21493,7169,10019,6703,,,18313,21250,7099,10036,,,17994,20874,7010,9890,,,17578,20458,6810,9690,1178,1178,1159,1125,1102,1080,1072,
University of New Mexico-Valencia County Campus,7346,8342,7850,NM,4,2,1,2,University of New Mexico-Valencia County Campus,-106.705371,34.728683,,,17698,20950,7302,10554,,,17734,20986,7472,10724,,,,,18619,21877,7145,10403,6165,,,18233,21485,7019,10271,,,17778,21150,6794,10166,,,17264,20108,6572,9416,1194,1178,1159,1125,1102,1072,1072,
University of Pittsburgh-Bradford,16597,15519,18355,PA,1,1,1,2,University of Pittsburgh-Bradford,-78.673701,41.943415,29838,41478,30562,42202,19998,31638,29338,40806,30290,41758,19726,31194,,,28706,40174,29626,41094,19094,30562,17018,28100,39344,28990,40234,18768,30012,28111,39355,28111,39355,19053,30297,27588,38610,27588,38610,18794,29816,759,759,826,785,1000,1000,592,
University of Pittsburgh-Greensburg,17644,15211,17013,PA,1,1,1,2,University of Pittsburgh-Greensburg,-79.532676,40.276447,31262,42902,30552,42192,19988,31628,30628,42096,30322,41790,19758,31226,,,29954,41422,29616,41084,19084,30552,16720,29278,40522,28980,40224,18758,30002,29293,40537,29293,40537,19023,30267,28794,39816,28794,39816,18804,29826,759,759,826,785,1000,1000,592,
University of Pittsburgh-Johnstown,17627,17574,18836,PA,1,1,1,2,University of Pittsburgh-Johnstown,-78.834163,40.265957,30332,41972,30560,42200,19996,31636,29794,41262,30298,41766,19734,31202,,,29152,40620,29624,41092,19092,30560,17804,28694,39938,28966,40210,18744,29988,28689,39933,28689,39933,19029,30273,28200,39222,28200,39222,18810,29832,759,759,826,785,1000,1000,592,
University of Pittsburgh-Titusville,8488,13631,14059,PA,4,2,1,1,University of Pittsburgh-Titusville,-79.664156,41.628697,,,28000,38090,17436,27526,29354,39294,27834,37774,17270,27210,,,28084,38024,27474,37414,16942,26882,16828,27552,37296,26878,36622,16656,26400,27521,37265,27521,37265,16941,26685,27466,37210,27466,37210,16994,26738,759,759,826,785,1000,1000,592,
University of Science and Arts of Oklahoma,9573,8636,8798,OK,1,1,1,1,University of Science and Arts of Oklahoma,-97.956410,35.031392,19200,30060,20580,31440,13170,24030,19200,30060,20580,31440,13170,24030,,,19200,30060,20580,31440,13170,24030,8221,18360,28710,19740,30090,12330,22680,18360,28710,19740,30090,12330,22680,18050,28400,19740,30090,12330,22680,1200,1200,1200,1200,1200,1200,1200,
University of South Carolina-Lancaster,10531,8914,9273,SC,4,2,1,2,University of South Carolina-Lancaster,-80.787069,34.736282,,,22913,33593,13471,24151,,,22913,33593,13471,24151,,,,,22913,33593,13471,24151,8127,,,22913,33593,13471,24151,,,22303,32683,12861,23241,,,22057,32089,12615,22647,1600,1600,1600,1600,1600,1600,1600,
University of South Carolina-Salkehatchie,12696,13349,13401,SC,4,2,1,1,University of South Carolina-Salkehatchie,-81.301838,33.014312,,,22913,33593,13471,24151,,,22913,33593,13471,24151,,,,,22913,33593,13471,24151,12679,,,22913,33593,13471,24151,,,22303,32683,12861,23241,,,22057,32089,12615,22647,1600,1600,1600,1600,1600,1600,1600,
University of South Carolina-Sumter,9494,9949,10219,SC,4,2,1,2,University of South Carolina-Sumter,-80.373459,33.934698,,,22913,33593,13471,24151,,,22913,33593,13471,24151,,,,,22913,33593,13471,24151,9639,,,22913,33593,13471,24151,,,22303,32683,12861,23241,,,22057,32089,12615,22647,1600,1600,1600,1600,1600,1600,1600,
University of South Carolina-Union,11388,11547,11665,SC,4,2,1,2,University of South Carolina-Union,-81.621042,34.717771,,,22913,33593,13471,24151,,,22913,33593,13471,24151,,,,,22913,33593,13471,24151,11723,,,22913,33593,13471,24151,,,22303,32683,12861,23241,,,22057,31961,12615,22519,1600,1600,1600,1600,1600,1600,1600,
University of the Ozarks,,,,AR,2,1,1,1,University of the Ozarks,-93.467221,35.476278,36350,36350,36350,36350,28350,28350,36150,36150,36150,36150,28350,28350,17228,17471,35950,35950,35950,35950,28350,28350,,35030,35030,35030,35030,27630,27630,36435,36435,38528,38528,28997,28997,36235,36235,38528,38528,28997,28997,1000,,1000,1000,1000,1000,1000,
University of Virginia's College at Wise,10193,9418,10432,VA,1,1,1,2,University of Virginia's College at Wise,-82.559656,36.970602,26765,46275,23932,43442,15732,35242,26181,45143,23606,42568,15406,34368,,,25276,43685,23022,41431,14822,33231,10132,24596,42323,22620,40347,14725,32452,24149,41379,22195,39425,14395,31625,23795,40495,21169,37869,14009,30709,1600,1600,1600,1600,1600,1500,1300,
Urban College of Boston,,,,MA,5,2,1,1,Urban College of Boston,-71.064200,42.352922,,,17774,17774,10864,10864,,,17774,17774,10864,10864,14201,13535,,,17774,17774,10864,10864,,,,17774,17774,10864,10864,,,17774,17774,10864,10864,,,17774,17774,10864,10864,900,1300,900,900,900,900,900,
Urshan College,,,,MO,2,1,1,1,Urshan College,-90.830252,38.808034,13701,13701,19320,19320,11122,11122,12916,12916,18720,18720,10522,10522,7913,7369,11285,11285,12033,12033,8785,8785,,,,,,,,,,,,,,,,,,,,2100,1500,1230,1230,1230,1244,,
Ursinus College,,,,PA,2,1,1,2,Ursinus College,-75.456505,40.193023,73982,73982,73982,73982,65292,65292,72062,72062,72062,72062,63902,63902,31351,31812,70052,70052,70052,70052,62302,62302,,68122,68122,68122,68122,60742,60742,66242,66242,66242,66242,59052,59052,65012,65012,65012,65012,58062,58062,1000,1000,1000,1000,1000,1000,1000,
Uta Mesivta of Kiryas Joel,,,,NY,2,1,1,2,Uta Mesivta of Kiryas Joel,-74.161179,41.333864,25100,25100,24100,24100,21100,21100,24100,24100,23100,23100,20100,20100,9655,7535,23600,23600,22600,22600,19600,19600,,22600,22600,21600,21600,18600,18600,22100,22100,21100,21100,18100,18100,21100,21100,20100,20100,17100,17100,600,600,600,600,600,600,600,
Valencia College,14053,4901,4484,FL,1,1,1,5,Valencia College,-81.471466,28.520898,,,16493,23402,7127,14036,,,16493,23402,7127,14036,,,,,16493,23402,7127,14036,6804,,,16493,23402,7127,14036,,,16493,23402,7127,14036,,,16493,23402,7127,14036,1266,1354,1266,1266,1266,1266,1266,
Valley Forge Military College,,,,PA,5,2,1,1,Valley Forge Military College,-75.382097,40.053697,49975,49975,,,,,49975,49975,,,,,35627,34750,49975,49975,48575,48575,34175,34175,,48575,48575,46975,46975,33775,33775,47975,47975,46975,46975,33175,33175,47375,47375,46975,46975,33175,33175,1000,1000,1000,1000,1000,1000,1000,
Valor Christian College,,,,OH,2,1,1,1,Valor Christian College,-82.829696,39.891571,30692,30692,31210,31210,14074,14074,30412,30412,30656,30656,14061,14061,9836,9318,19407,19407,24614,24614,12270,12270,,18741,18741,23696,23696,11611,11611,14924,14924,22339,22339,10464,10464,14125,14125,21490,21490,9745,9745,800,800,800,800,800,800,800,
Vance-Granville Community College,5811,4261,4129,NC,4,2,1,2,Vance-Granville Community College,-78.487651,36.323887,,,16497,21105,8775,13383,,,16030,20638,8491,13099,,,,,14562,19170,7176,11784,5273,,,15342,19950,7851,12459,,,14748,19356,7620,12228,,,14518,19126,7179,11787,1595,1550,1546,1508,1484,1656,1795,
Ventura College,3971,4347,3936,CA,4,2,1,4,Ventura College,-119.230604,34.277393,,,23700,30448,6641,13389,,,23579,29583,8063,14067,,,,,23579,29583,8063,14067,4021,,,19829,25491,7463,13125,,,19829,25491,7463,13125,,,19829,25491,7463,13125,1080,1971,1971,1791,1791,1791,1764,
Vermilion Community College,12317,13623,13176,MN,4,2,1,1,Vermilion Community College,-91.837777,47.905184,18915,20213,18915,20213,11718,13016,18667,19902,18667,19902,11470,12705,,,18594,19811,18594,19811,11397,12614,10592,18452,19633,18452,19633,11255,12436,16075,17256,16075,17256,8297,9478,15682,16851,15682,16851,8250,9419,1000,1000,1000,1000,1000,1000,1000,
Vernon College,6668,4383,4942,TX,4,2,1,2,Vernon College,-99.319094,34.159298,15643,17083,16460,17900,9990,11430,15178,16618,16251,17691,9812,11252,,,14751,16311,15807,17367,9472,11032,5429,14616,15976,15642,17002,9488,10848,14752,16702,15760,17710,9715,11665,14517,16467,15515,17465,9830,11780,1600,1600,1600,1600,1600,1600,1600,
Vet Tech Institute,,,,PA,6,2,1,1,Vet Tech Institute,-80.000229,40.443884,,,23440,23440,18440,18440,,,23321,23321,18321,18321,14262,14549,,,23263,23263,18263,18263,,,,23158,23158,18158,18158,,,23102,23102,18102,18102,,,22983,22983,17983,17983,940,920,902,877,860,862,955,
Vet Tech Institute of Houston,,,,TX,6,2,1,1,Vet Tech Institute of Houston,-95.455533,29.728907,,,22937,22937,17937,17937,,,22858,22858,17858,17858,13155,14954,,,22931,22931,17931,17931,,,,22650,22650,17650,17650,,,22591,22591,17591,17591,,,22268,22268,17268,17268,820,820,1013,726,932,930,934,
Victor Valley College,12848,10976,9863,CA,4,2,1,3,Victor Valley College,-117.261456,34.472231,,,24459,32246,6639,14426,,,22475,30425,6959,14909,,,,,21368,29108,7706,15446,9195,,,20510,25598,7408,12496,,,19027,23539,7174,11686,,,19567,25783,7201,13417,1917,1971,1917,1917,1764,1791,1764,
Victoria College,6118,6260,6216,TX,4,2,1,2,Victoria College,-96.979226,28.816446,,,17150,18182,8914,9946,,,17054,18014,8818,9778,,,,,16934,17702,8698,9466,9167,,,16718,19190,8482,10954,,,17360,17960,9124,9724,,,17360,17960,9124,9724,1600,1600,1600,1600,1600,1600,1820,
